method,seed,split_key,cell_type,drug,dose,pert_category,pearson_delta_de
CRISP,0,zero_split_drugs,MCF7,Dacinostat,0.0010000000474974513,MCF7_Dacinostat_0.001,0.30521490087918746
CRISP,0,zero_split_drugs,MCF7,Flavopiridol,0.0010000000474974513,MCF7_Flavopiridol_0.001,0.07004714010705494
CRISP,0,zero_split_drugs,MCF7,Givinostat,0.0010000000474974513,MCF7_Givinostat_0.001,0.15049804440803807
CRISP,0,zero_split_drugs,MCF7,Hesperadin,0.0010000000474974513,MCF7_Hesperadin_0.001,0.1480758075693934
CRISP,0,zero_split_drugs,MCF7,Quisinostat,0.0010000000474974513,MCF7_Quisinostat_0.001,0.5205742283316387
CRISP,0,zero_split_drugs,MCF7,TAK-901,0.0010000000474974513,MCF7_TAK-901_0.001,0.23351725520475985
CRISP,0,zero_split_drugs,MCF7,Tanespimycin,0.0010000000474974513,MCF7_Tanespimycin_0.001,0.5088317749571164
CRISP,0,zero_split_drugs2,A549,Alvespimycin,0.009999999776482582,A549_Alvespimycin_0.01,-0.085469587
CRISP,0,zero_split_drugs2,A549,Belinostat,0.009999999776482582,A549_Belinostat_0.01,0.44079136939715835
CRISP,0,zero_split_drugs2,A549,Dacinostat,0.009999999776482582,A549_Dacinostat_0.01,0.7528415908547786
CRISP,0,zero_split_drugs2,A549,Flavopiridol,0.009999999776482582,A549_Flavopiridol_0.01,0.7721981759958471
CRISP,0,zero_split_drugs2,A549,Givinostat,0.009999999776482582,A549_Givinostat_0.01,0.3903626719272366
CRISP,0,zero_split_drugs2,A549,Hesperadin,0.009999999776482582,A549_Hesperadin_0.01,0.15620618031042224
CRISP,0,zero_split_drugs2,A549,Quisinostat,0.009999999776482582,A549_Quisinostat_0.01,0.8100326273223762
CRISP,0,zero_split_drugs2,A549,TAK-901,0.009999999776482582,A549_TAK-901_0.01,-0.285874701
CRISP,0,zero_split_drugs2,A549,Tanespimycin,0.009999999776482582,A549_Tanespimycin_0.01,0.14148438594889265
CRISP,0,zero_split_drugs3,K562,Alvespimycin,0.009999999776482582,K562_Alvespimycin_0.01,0.9188816390415824
CRISP,0,zero_split_drugs3,K562,Belinostat,0.009999999776482582,K562_Belinostat_0.01,0.751891037127268
CRISP,0,zero_split_drugs3,K562,Dacinostat,0.009999999776482582,K562_Dacinostat_0.01,0.9737656905614362
CRISP,0,zero_split_drugs3,K562,Flavopiridol,0.009999999776482582,K562_Flavopiridol_0.01,0.44182517168311475
CRISP,0,zero_split_drugs3,K562,Givinostat,0.009999999776482582,K562_Givinostat_0.01,0.10196380960699132
CRISP,0,zero_split_drugs3,K562,Hesperadin,0.009999999776482582,K562_Hesperadin_0.01,-0.301806188
CRISP,0,zero_split_drugs3,K562,Quisinostat,0.009999999776482582,K562_Quisinostat_0.01,0.9757512887720436
CRISP,0,zero_split_drugs3,K562,TAK-901,0.009999999776482582,K562_TAK-901_0.01,0.43490270022064653
CRISP,0,zero_split_drugs3,K562,Tanespimycin,0.009999999776482582,K562_Tanespimycin_0.01,0.8232301284831929
CRISP,0,zero_split_drugs,MCF7,Alvespimycin,0.009999999776482582,MCF7_Alvespimycin_0.01,0.38920989610223133
CRISP,0,zero_split_drugs,MCF7,Belinostat,0.009999999776482582,MCF7_Belinostat_0.01,0.24041129433295444
CRISP,0,zero_split_drugs,MCF7,Dacinostat,0.009999999776482582,MCF7_Dacinostat_0.01,0.4602756931243445
CRISP,0,zero_split_drugs,MCF7,Flavopiridol,0.009999999776482582,MCF7_Flavopiridol_0.01,0.7135344402789624
CRISP,0,zero_split_drugs,MCF7,Givinostat,0.009999999776482582,MCF7_Givinostat_0.01,0.15561606965892866
CRISP,0,zero_split_drugs,MCF7,Hesperadin,0.009999999776482582,MCF7_Hesperadin_0.01,0.6143174448202188
CRISP,0,zero_split_drugs,MCF7,Quisinostat,0.009999999776482582,MCF7_Quisinostat_0.01,0.6118216108791813
CRISP,0,zero_split_drugs,MCF7,TAK-901,0.009999999776482582,MCF7_TAK-901_0.01,0.6323399124932647
CRISP,0,zero_split_drugs,MCF7,Tanespimycin,0.009999999776482582,MCF7_Tanespimycin_0.01,0.2939642716430396
CRISP,0,zero_split_drugs2,A549,Alvespimycin,0.10000000149011612,A549_Alvespimycin_0.1,0.09844895204915974
CRISP,0,zero_split_drugs2,A549,Belinostat,0.10000000149011612,A549_Belinostat_0.1,0.48701805630776657
CRISP,0,zero_split_drugs2,A549,Dacinostat,0.10000000149011612,A549_Dacinostat_0.1,0.9052335156154079
CRISP,0,zero_split_drugs2,A549,Flavopiridol,0.10000000149011612,A549_Flavopiridol_0.1,0.0491999059724902
CRISP,0,zero_split_drugs2,A549,Givinostat,0.10000000149011612,A549_Givinostat_0.1,0.4554740202777829
CRISP,0,zero_split_drugs2,A549,Hesperadin,0.10000000149011612,A549_Hesperadin_0.1,0.1733201672310383
CRISP,0,zero_split_drugs2,A549,Quisinostat,0.10000000149011612,A549_Quisinostat_0.1,0.7939187384162361
CRISP,0,zero_split_drugs2,A549,TAK-901,0.10000000149011612,A549_TAK-901_0.1,-0.147685768
CRISP,0,zero_split_drugs2,A549,Tanespimycin,0.10000000149011612,A549_Tanespimycin_0.1,-0.066190255
CRISP,0,zero_split_drugs3,K562,Alvespimycin,0.10000000149011612,K562_Alvespimycin_0.1,0.7753479778178918
CRISP,0,zero_split_drugs3,K562,Belinostat,0.10000000149011612,K562_Belinostat_0.1,0.6175607367414553
CRISP,0,zero_split_drugs3,K562,Dacinostat,0.10000000149011612,K562_Dacinostat_0.1,0.9907699391899724
CRISP,0,zero_split_drugs3,K562,Flavopiridol,0.10000000149011612,K562_Flavopiridol_0.1,0.41051107237406914
CRISP,0,zero_split_drugs3,K562,Givinostat,0.10000000149011612,K562_Givinostat_0.1,0.7803124199911783
CRISP,0,zero_split_drugs3,K562,Hesperadin,0.10000000149011612,K562_Hesperadin_0.1,0.95269053955017
CRISP,0,zero_split_drugs3,K562,Quisinostat,0.10000000149011612,K562_Quisinostat_0.1,0.9817665473748166
CRISP,0,zero_split_drugs3,K562,TAK-901,0.10000000149011612,K562_TAK-901_0.1,0.9723777200990917
