model,split,row_type,group,n_groups,sinkhorn_de,centered_sinkhorn_de,variance_log_mae_de
DiffCRISP,split2,group,T cells CD4+_TR14035,1,23.430343627929688,22.572994232177734,0.22262996435165405
DiffCRISP,split2,group,T cells CD4+_Tacalcitol,1,62.708251953125,61.073646545410156,0.7058506608009338
DiffCRISP,split2,group,T cells CD4+_Tamatinib,1,50.48661804199219,48.22737503051758,0.6649003624916077
DiffCRISP,split2,group,T cells CD4+_Tipifarnib,1,5.842480659484863,4.857870101928711,0.08876153081655502
DiffCRISP,split2,group,T cells CD4+_Tivantinib,1,39.20845031738281,37.54777526855469,0.4301230311393738
DiffCRISP,split2,group,T cells CD4+_Tivozanib,1,31.146697998046875,30.287128448486328,0.35854676365852356
DiffCRISP,split2,group,T cells CD4+_Topotecan,1,31.5007381439209,29.89031219482422,0.46998733282089233
DiffCRISP,split2,group,T cells CD4+_Tosedostat,1,36.38276290893555,34.46552658081055,0.38713207840919495
DiffCRISP,split2,group,T cells CD4+_Trametinib,1,41.450843811035156,36.86869812011719,0.47330722212791443
DiffCRISP,split2,group,T cells CD4+_UNIIBXU45ZH6LI,1,16.940702438354492,10.096965789794922,0.1714659333229065
DiffCRISP,split2,group,T cells CD4+_Vandetanib,1,13.797039031982422,12.589924812316895,0.1179930791258812
DiffCRISP,split2,group,T cells CD4+_Vanoxerine,1,24.124197006225586,23.203044891357422,0.247856006026268
DiffCRISP,split2,group,T cells CD4+_Vardenafil,1,28.76751136779785,27.302288055419922,0.3734999895095825
DiffCRISP,split2,group,T cells CD4+_Vorinostat,1,25.847675323486328,19.721633911132812,0.2837960124015808
DiffCRISP,split2,group,T cells CD4+_YK4279,1,54.78748321533203,35.31242752075195,0.27073705196380615
DiffCRISP,split2,split_mean,ALL,160,40.5411325247027,35.16355557923671,0.40346507818976535
DiffCRISP,split3,group,NK cells_59Isopropyl8methyl2morpholino9Hpurin6ylpyrimidin2amine,1,55.231292724609375,49.38505172729492,0.6237004399299622
DiffCRISP,split3,group,NK cells_ABT199GDC0199,1,0.0007784253684803843,0.00021136878058314323,4.1810235416051e-05
DiffCRISP,split3,group,NK cells_ABT737,1,0.3279044032096863,0.26770877838134766,0.010520439594984055
DiffCRISP,split3,group,NK cells_AMD070hydrochloride,1,9.595096588134766,8.58757495880127,0.18437352776527405
DiffCRISP,split3,group,NK cells_AT13387,1,82.78875732421875,59.4150390625,0.7403573393821716
DiffCRISP,split3,group,NK cells_AT7867,1,38.967742919921875,35.88313293457031,0.4881611764431
DiffCRISP,split3,group,NK cells_AVL292,1,39.89158630371094,35.8839225769043,0.5151537656784058
DiffCRISP,split3,group,NK cells_AZ628,1,18.653175354003906,17.088726043701172,0.2594275176525116
DiffCRISP,split3,group,NK cells_AZD3514,1,0.0015519690932705998,0.0005382666131481528,6.910160300321877e-05
DiffCRISP,split3,group,NK cells_AZD4547,1,0.004214885178953409,0.0014194027753546834,0.00017271391698159277
DiffCRISP,split3,group,NK cells_AZD8330,1,20.41790199279785,19.03321075439453,0.2623657286167145
DiffCRISP,split3,group,NK cells_Alogliptin,1,4.574577808380127,4.51190710067749,0.06890404969453812
DiffCRISP,split3,group,NK cells_Alvocidib,1,22.393482208251953,4.141717910766602,0.14808160066604614
DiffCRISP,split3,group,NK cells_Amiodarone,1,0.004839560016989708,0.002903879852965474,0.0001870963315013796
DiffCRISP,split3,group,NK cells_Atorvastatin,1,22.285236358642578,21.28600311279297,0.2078261375427246
DiffCRISP,split3,group,NK cells_Azacitidine,1,2.7187623977661133,2.6666669845581055,0.0694504976272583
DiffCRISP,split3,group,NK cells_BAY613606,1,41.87129211425781,34.46992111206055,0.4323294460773468
DiffCRISP,split3,group,NK cells_BAY872243,1,18.950397491455078,16.402345657348633,0.3361457586288452
DiffCRISP,split3,group,NK cells_BID1870,1,0.009314078837633133,0.0051214490085840225,0.00031504721846431494
DiffCRISP,split3,group,NK cells_BMS265246,1,53.2728385925293,47.67167663574219,0.5654754042625427
DiffCRISP,split3,group,NK cells_BMS387032,1,22.970365524291992,14.380863189697266,0.1596866250038147
DiffCRISP,split3,group,NK cells_BMS536924,1,22.9187068939209,20.669113159179688,0.39420709013938904
DiffCRISP,split3,group,NK cells_BMS777607,1,5.523107051849365,4.829872131347656,0.1313147097826004
DiffCRISP,split3,group,NK cells_BX912,1,14.221159934997559,12.685646057128906,0.2525235116481781
DiffCRISP,split3,group,NK cells_Belinostat,1,63.12968444824219,52.13463592529297,0.5562701225280762
DiffCRISP,split3,group,NK cells_Bosutinib,1,17.601242065429688,15.000858306884766,0.3088681101799011
DiffCRISP,split3,group,NK cells_Buspirone,1,0.0008537258836440742,4.763004835695028e-05,2.7097295969724655e-05
DiffCRISP,split3,group,NK cells_CC401,1,2.4246649742126465,2.136990547180176,0.03357358276844025
DiffCRISP,split3,group,NK cells_CEP37440,1,7.68047571182251,7.489847660064697,0.1496032178401947
DiffCRISP,split3,group,NK cells_CGM097,1,3.4020557403564453,2.596092700958252,0.05089591443538666
DiffCRISP,split3,group,NK cells_CGP60474,1,21.222206115722656,4.542296409606934,0.1548590064048767
DiffCRISP,split3,group,NK cells_CHIR99021,1,8.971365928649902,8.530041694641113,0.16996821761131287
DiffCRISP,split3,group,NK cells_Cabozantinib,1,0.054604772478342056,0.03604845702648163,0.0015098560834303498
DiffCRISP,split3,group,NK cells_Canertinib,1,26.459484100341797,22.542598724365234,0.20467489957809448
DiffCRISP,split3,group,NK cells_Ceritinib,1,14.071475982666016,12.461783409118652,0.20112475752830505
DiffCRISP,split3,group,NK cells_Chlorpheniramine,1,0.8319556713104248,0.7928478717803955,0.03154965862631798
DiffCRISP,split3,group,NK cells_Clemastine,1,6.951468467712402,6.76387882232666,0.12353041023015976
DiffCRISP,split3,group,NK cells_Clomipramine,1,12.343830108642578,11.819087982177734,0.17255596816539764
DiffCRISP,split3,group,NK cells_Clotrimazole,1,5.935142993927002,5.799258708953857,0.106342613697052
DiffCRISP,split3,group,NK cells_Colchicine,1,5.911281585693359,5.459991455078125,0.0773540660738945
DiffCRISP,split3,group,NK cells_Colforsin,1,5.467959403991699,5.031484603881836,0.12273022532463074
DiffCRISP,split3,group,NK cells_Crizotinib,1,11.335092544555664,10.108060836791992,0.22918236255645752
DiffCRISP,split3,group,NK cells_Dabrafenib,1,99.37796783447266,96.26342010498047,1.047732949256897
DiffCRISP,split3,group,NK cells_Dactolisib,1,56.714691162109375,45.546546936035156,0.5472823977470398
DiffCRISP,split3,group,NK cells_Dasatinib,1,8.912896156311035,8.087518692016602,0.1832367181777954
DiffCRISP,split3,group,NK cells_Decitabine,1,0.2782992720603943,0.2486407458782196,0.004949510563164949
DiffCRISP,split3,group,NK cells_Defactinib,1,0.07122601568698883,0.03562990948557854,0.0016674086218699813
DiffCRISP,split3,group,NK cells_Desloratadine,1,16.595947265625,15.702609062194824,0.2599446773529053
DiffCRISP,split3,group,NK cells_Disulfiram,1,3.7179975509643555,3.489839792251587,0.07354559749364853
DiffCRISP,split3,group,NK cells_Dovitinib,1,18.29339599609375,16.902809143066406,0.2517971098423004
DiffCRISP,split3,group,NK cells_Doxorubicin,1,34.379798889160156,24.560039520263672,0.28488150238990784
DiffCRISP,split3,group,NK cells_FK866,1,0.02262699231505394,0.012271145358681679,0.0006864561000838876
DiffCRISP,split3,group,NK cells_Flutamide,1,0.10820101946592331,0.0838463306427002,0.0034178828354924917
DiffCRISP,split3,group,NK cells_Foretinib,1,15.426190376281738,13.366101264953613,0.2511547803878784
DiffCRISP,split3,group,NK cells_GLPG0634,1,15.79081916809082,14.12423324584961,0.2666515111923218
DiffCRISP,split3,group,NK cells_GO6976,1,34.61490249633789,27.77484130859375,0.19685016572475433
DiffCRISP,split3,group,NK cells_GSK1070916,1,6.923425674438477,6.436359405517578,0.13195376098155975
DiffCRISP,split3,group,NK cells_GSK256066,1,53.685455322265625,42.110450744628906,0.4982196092605591
DiffCRISP,split3,group,NK cells_GW843682X,1,17.005252838134766,15.917810440063477,0.22546283900737762
DiffCRISP,split3,group,NK cells_GanetespibSTA9090,1,94.92979431152344,59.60443878173828,0.7441659569740295
DiffCRISP,split3,group,NK cells_HMN214,1,95.41673278808594,73.85549926757812,0.42601534724235535
DiffCRISP,split3,group,NK cells_HYDROXYUREA,1,0.697310209274292,0.5600895285606384,0.003569540334865451
DiffCRISP,split3,group,NK cells_IBET151,1,13.887773513793945,9.944795608520508,0.1652495414018631
DiffCRISP,split3,group,NK cells_IKKInhibitorVII,1,19.926441192626953,18.30580711364746,0.409030556678772
DiffCRISP,split3,group,NK cells_IMD0354,1,18.000919342041016,10.780430793762207,0.16900649666786194
DiffCRISP,split3,group,NK cells_IN1451,1,23.169309616088867,4.441598415374756,0.15374122560024261
DiffCRISP,split3,group,NK cells_Idelalisib,1,2.3262906074523926,1.9883540868759155,0.05184703320264816
DiffCRISP,split3,group,NK cells_Imatinib,1,0.003964809700846672,0.0019216669024899602,0.0001506520202383399
DiffCRISP,split3,group,NK cells_Isoniazid,1,0.0028393047396093607,0.0005235382122918963,8.968163456302136e-05
DiffCRISP,split3,group,NK cells_Ixabepilone,1,14.363704681396484,11.793231964111328,0.14498695731163025
DiffCRISP,split3,group,NK cells_K02288,1,9.517045974731445,8.83857536315918,0.15773962438106537
DiffCRISP,split3,group,NK cells_Ketoconazole,1,0.11758562177419662,0.07544286549091339,0.003072766587138176
DiffCRISP,split3,group,NK cells_LDN193189,1,0.7890336513519287,0.5649474859237671,0.012278012000024319
