model,split,row_type,group,n_groups,sinkhorn_de,centered_sinkhorn_de,variance_log_mae_de
CRISP,split2,group,T cells CD4+_ABT199GDC0199,1,3.141268253326416,2.6314120292663574,0.05180690810084343
CRISP,split2,group,T cells CD4+_ABT737,1,5.878186225891113,5.099191665649414,0.09543346613645554
CRISP,split2,group,T cells CD4+_AMD070hydrochloride,1,40.18403625488281,39.29396057128906,0.6589533090591431
CRISP,split2,group,T cells CD4+_AT13387,1,95.63050842285156,74.31901550292969,0.9010656476020813
CRISP,split2,group,T cells CD4+_AT7867,1,80.21751403808594,77.83966827392578,1.2045189142227173
CRISP,split2,group,T cells CD4+_AVL292,1,63.306488037109375,61.41249465942383,1.0077948570251465
CRISP,split2,group,T cells CD4+_AZ628,1,75.41822814941406,73.85323333740234,1.1082358360290527
CRISP,split2,group,T cells CD4+_AZD3514,1,15.995147705078125,13.493227005004883,0.22211042046546936
CRISP,split2,group,T cells CD4+_AZD4547,1,2.6387596130371094,2.5731682777404785,0.044594477862119675
CRISP,split2,group,T cells CD4+_AZD8330,1,52.29583740234375,50.61874008178711,0.7905724048614502
CRISP,split2,group,T cells CD4+_Alogliptin,1,27.753549575805664,27.055404663085938,0.4848911166191101
CRISP,split2,group,T cells CD4+_Alvocidib,1,40.50569152832031,4.736693382263184,0.15046827495098114
CRISP,split2,group,T cells CD4+_Amiodarone,1,8.06165885925293,5.9164838790893555,0.09163283556699753
CRISP,split2,group,T cells CD4+_Atorvastatin,1,36.09858322143555,34.48365783691406,0.5679826140403748
CRISP,split2,group,T cells CD4+_Azacitidine,1,18.49135971069336,17.889690399169922,0.27149683237075806
CRISP,split2,group,T cells CD4+_BAY613606,1,97.14309692382812,90.53861236572266,1.252131700515747
CRISP,split2,group,T cells CD4+_BAY872243,1,42.934017181396484,38.52766418457031,0.6858512759208679
CRISP,split2,group,T cells CD4+_BID1870,1,50.247901916503906,49.166019439697266,0.5455530285835266
CRISP,split2,group,T cells CD4+_BMS265246,1,69.00527954101562,62.552066802978516,0.9004690647125244
CRISP,split2,group,T cells CD4+_BMS387032,1,0.718513011932373,0.19533586502075195,0.008816240355372429
CRISP,split2,group,T cells CD4+_BMS536924,1,52.36552429199219,48.7476692199707,0.8323983550071716
CRISP,split2,group,T cells CD4+_BMS777607,1,73.76348876953125,72.27888488769531,1.1420340538024902
CRISP,split2,group,T cells CD4+_BX912,1,56.16130065917969,53.936737060546875,0.8535262942314148
CRISP,split2,group,T cells CD4+_Belinostat,1,52.46141815185547,47.204376220703125,0.6855984330177307
CRISP,split2,group,T cells CD4+_Bosutinib,1,62.62389373779297,57.78675842285156,0.9544066786766052
CRISP,split2,group,T cells CD4+_Buspirone,1,14.183669090270996,13.500526428222656,0.2562847435474396
CRISP,split2,group,T cells CD4+_CC401,1,27.705078125,26.637393951416016,0.3726252019405365
CRISP,split2,group,T cells CD4+_CEP18770Delanzomib,1,74.17257690429688,66.2244873046875,1.046366810798645
CRISP,split2,group,T cells CD4+_CEP37440,1,53.87834930419922,51.19725799560547,0.7802570462226868
CRISP,split2,group,T cells CD4+_CGM097,1,65.13233184814453,28.37228775024414,0.32723408937454224
CRISP,split2,group,T cells CD4+_CGP60474,1,16.62635612487793,2.7899420261383057,0.10358939319849014
CRISP,split2,group,T cells CD4+_CHIR99021,1,16.03676986694336,12.703224182128906,0.24380016326904297
CRISP,split2,group,T cells CD4+_Cabozantinib,1,65.82537841796875,64.27488708496094,0.7671183943748474
CRISP,split2,group,T cells CD4+_Canertinib,1,82.99531555175781,76.97337341308594,1.0273048877716064
CRISP,split2,group,T cells CD4+_Ceritinib,1,40.246864318847656,37.83787155151367,0.6200507879257202
CRISP,split2,group,T cells CD4+_Chlorpheniramine,1,73.89740753173828,71.72308349609375,1.1007541418075562
CRISP,split2,group,T cells CD4+_Clemastine,1,58.262420654296875,56.91716766357422,0.9490162134170532
CRISP,split2,group,T cells CD4+_Clomipramine,1,52.6799430847168,52.100616455078125,0.8743441700935364
CRISP,split2,group,T cells CD4+_Clotrimazole,1,23.28268814086914,20.96717071533203,0.3372948169708252
CRISP,split2,group,T cells CD4+_Colchicine,1,32.23319625854492,24.654430389404297,0.3144872188568115
CRISP,split2,group,T cells CD4+_Colforsin,1,41.59429931640625,40.10292053222656,0.6629692912101746
CRISP,split2,group,T cells CD4+_Crizotinib,1,60.84235382080078,58.068931579589844,0.9633275866508484
CRISP,split2,group,T cells CD4+_Dabrafenib,1,97.10845947265625,94.31987762451172,1.080748438835144
CRISP,split2,group,T cells CD4+_Dactolisib,1,61.158546447753906,54.6451301574707,0.8866457343101501
CRISP,split2,group,T cells CD4+_Dasatinib,1,67.90846252441406,62.69477081298828,1.0340896844863892
CRISP,split2,group,T cells CD4+_Decitabine,1,13.311956405639648,12.861295700073242,0.21844998002052307
CRISP,split2,group,T cells CD4+_Defactinib,1,18.86292266845703,16.23554229736328,0.26089343428611755
CRISP,split2,group,T cells CD4+_Desloratadine,1,39.7188720703125,38.504371643066406,0.6429827213287354
CRISP,split2,group,T cells CD4+_Disulfiram,1,26.444881439208984,25.616785049438477,0.44053182005882263
CRISP,split2,group,T cells CD4+_Dovitinib,1,40.97265625,38.012977600097656,0.6087944507598877
CRISP,split2,group,T cells CD4+_Doxorubicin,1,104.50527954101562,99.31780242919922,1.299291729927063
CRISP,split2,group,T cells CD4+_FK866,1,31.78738021850586,26.399532318115234,0.3528934121131897
CRISP,split2,group,T cells CD4+_Flutamide,1,0.09267691522836685,0.0509176142513752,0.002154229674488306
CRISP,split2,group,T cells CD4+_Foretinib,1,71.31137084960938,68.68238067626953,1.1052170991897583
CRISP,split2,group,T cells CD4+_GLPG0634,1,59.158103942871094,57.79769515991211,0.9331697225570679
CRISP,split2,group,T cells CD4+_GO6976,1,128.56784057617188,103.04861450195312,1.02390718460083
CRISP,split2,group,T cells CD4+_GSK1070916,1,43.78742980957031,42.23505401611328,0.7223573923110962
CRISP,split2,group,T cells CD4+_GSK256066,1,48.215755462646484,44.537113189697266,0.653779923915863
CRISP,split2,group,T cells CD4+_GW843682X,1,33.56298065185547,31.60662841796875,0.516640841960907
CRISP,split2,group,T cells CD4+_GanetespibSTA9090,1,70.11500549316406,57.30441665649414,0.7236871123313904
CRISP,split2,group,T cells CD4+_HMN214,1,117.50859069824219,115.27867126464844,1.2765082120895386
CRISP,split2,group,T cells CD4+_HYDROXYUREA,1,14.721234321594238,14.083873748779297,0.2524288296699524
CRISP,split2,group,T cells CD4+_IBET151,1,43.930728912353516,40.12523651123047,0.6379629373550415
CRISP,split2,group,T cells CD4+_IKKInhibitorVII,1,55.2979850769043,53.11370086669922,0.9365147948265076
CRISP,split2,group,T cells CD4+_IMD0354,1,81.79423522949219,73.32060241699219,1.0704171657562256
CRISP,split2,group,T cells CD4+_IN1451,1,66.26524353027344,61.97222137451172,0.9884277582168579
CRISP,split2,group,T cells CD4+_Idelalisib,1,68.98992919921875,66.09159088134766,0.8892192840576172
CRISP,split2,group,T cells CD4+_Imatinib,1,10.888072967529297,5.470050811767578,0.0691474974155426
CRISP,split2,group,T cells CD4+_Isoniazid,1,13.097879409790039,12.272744178771973,0.21274591982364655
CRISP,split2,group,T cells CD4+_Ixabepilone,1,18.073490142822266,16.00873565673828,0.23020443320274353
CRISP,split2,group,T cells CD4+_K02288,1,35.18656539916992,33.23677062988281,0.5216410756111145
CRISP,split2,group,T cells CD4+_Ketoconazole,1,102.58709716796875,97.00657653808594,0.7524135112762451
CRISP,split2,group,T cells CD4+_LDN193189,1,4.14698600769043,3.599937915802002,0.06885762512683868
CRISP,split2,group,T cells CD4+_LY2090314,1,32.62456130981445,15.460660934448242,0.2667027413845062
CRISP,split2,group,T cells CD4+_Lamivudine,1,22.260866165161133,21.248367309570312,0.3693864047527313
CRISP,split2,group,T cells CD4+_Lapatinib,1,20.350948333740234,18.7762451171875,0.26343974471092224
CRISP,split2,group,T cells CD4+_Linagliptin,1,33.400047302246094,32.55080795288086,0.542916476726532
CRISP,split2,group,T cells CD4+_MGCD265,1,17.685781478881836,17.012401580810547,0.2738822102546692
CRISP,split2,group,T cells CD4+_MK5108,1,57.948646545410156,57.05474853515625,0.9351271986961365
CRISP,split2,group,T cells CD4+_MLN2238,1,69.14167785644531,59.377769470214844,0.9371691346168518
CRISP,split2,group,T cells CD4+_Masitinib,1,54.859031677246094,51.35518264770508,0.8158899545669556
CRISP,split2,group,T cells CD4+_Methotrexate,1,23.8829345703125,21.625946044921875,0.2820713520050049
CRISP,split2,group,T cells CD4+_Midostaurin,1,42.72382354736328,40.59902572631836,0.7319813370704651
CRISP,split2,group,T cells CD4+_MometasoneFuroate,1,91.94584655761719,82.25646209716797,1.1168817281723022
CRISP,split2,group,T cells CD4+_MubritinibTAK165,1,79.78489685058594,77.63612365722656,0.959552526473999
CRISP,split2,group,T cells CD4+_Navitoclax,1,15.97120475769043,14.153751373291016,0.2490391880273819
CRISP,split2,group,T cells CD4+_Nefazodone,1,6.561699867248535,5.7110137939453125,0.10254385322332382
CRISP,split2,group,T cells CD4+_Nilotinib,1,62.16055679321289,60.89772033691406,0.9799197912216187
CRISP,split2,group,T cells CD4+_ODemethylatedAdapalene,1,32.01774215698242,27.646865844726562,0.40493226051330566
CRISP,split2,group,T cells CD4+_OSI930,1,1.7032392024993896,1.0386316776275635,0.025811104103922844
CRISP,split2,group,T cells CD4+_OprozomibONX0912,1,55.942928314208984,46.52920913696289,0.8782914876937866
CRISP,split2,group,T cells CD4+_Oxybenzone,1,31.657068252563477,30.05481719970703,0.5218001008033752
CRISP,split2,group,T cells CD4+_PD0325901,1,86.84265899658203,81.83023834228516,1.1584733724594116
CRISP,split2,group,T cells CD4+_PF03814735,1,73.94398498535156,71.55039978027344,1.1211148500442505
CRISP,split2,group,T cells CD4+_PF04691502,1,54.78813171386719,50.1697998046875,0.738964855670929
CRISP,split2,group,T cells CD4+_PRT062607,1,75.27912902832031,73.41739654541016,1.1506434679031372
CRISP,split2,group,T cells CD4+_Palbociclib,1,45.265602111816406,44.23417663574219,0.7104813456535339
