Term,Dasatinib_NES,Nilotinib_NES,Bosutinib_NES,Mean_NES,Weakest_NES
WP_MICRORNAS_IN_CARDIOMYOCYTE_HYPERTROPHY,-1.4266521864350736,-1.5011559732559274,-1.5600491127004052,-1.4959524241304687,-1.4266521864350736
KEGG_VEGF_SIGNALING_PATHWAY,-1.4898532683935382,-1.4759727969740355,-1.516018531063536,-1.4939481988103698,-1.4759727969740355
REACTOME_CELL_CYCLE_CHECKPOINTS,-1.525082421850776,-1.5331684915046917,-1.4163544803964412,-1.4915351312506362,-1.4163544803964412
KEGG_CHEMOKINE_SIGNALING_PATHWAY,-1.5567401167808483,-1.4162463730746049,-1.5009322664296656,-1.4913062520950398,-1.4162463730746049
WP_VEGFAVEGFR2_SIGNALING,-1.5869333195123851,-1.4452841080526555,-1.4253817586917823,-1.4858663954189408,-1.4253817586917823
PID_HIF1_TFPATHWAY,-1.3898619325587578,-1.488360155203206,-1.53060452232708,-1.4696088700296812,-1.3898619325587578
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,-1.6685951993922832,-1.3531867707121668,-1.3787156029994765,-1.4668325243679756,-1.3531867707121668
WP_REGULATORY_CIRCUITS_OF_STAT3_SIGNALING,-1.421914510465226,-1.5885619559016444,-1.3800553685681909,-1.4635106116450203,-1.3800553685681909
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,-1.551947013904506,-1.288745664000678,-1.5149098035709578,-1.4518674938253806,-1.288745664000678
WP_ALLOGRAFT_REJECTION,-1.3647863455295293,-1.357751517775405,-1.6311801821967842,-1.4512393485005728,-1.357751517775405
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,-1.50935259504424,-1.3814217209949735,-1.3841873934143776,-1.4249872364845304,-1.3814217209949735
