drug,score,reference_positive,n_truth_hits,n_pred_hits,truth_pathways,pred_pathways
Lapatinib,4.165147442162895,True,4,2,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_CELL_CYCLE;WP_MAPK_SIGNALING;REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Quisinostat,4.159335089319242,True,3,2,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING;REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Tucidinostat,4.157573348507171,True,5,2,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_CELL_CYCLE;WP_BREAST_CANCER_PATHWAY;REACTOME_RHO_GTPASE_EFFECTORS;WP_MAPK_SIGNALING,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
UNC0379,4.157101647244469,True,4,2,REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_CELL_CYCLE;REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
SL-327,4.156855327756551,True,3,2,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_CELL_CYCLE;REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
UNC0631,4.156345718812828,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Alisertib,4.1534530386396105,True,1,2,REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Aurora,4.153314004247019,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Triamcinolone,4.149869804505259,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Pelitinib,4.145427899928988,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
JQ1,4.143961507546729,True,6,2,REACTOME_CELL_CYCLE;REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_ESR_MEDIATED_SIGNALING;WP_BREAST_CANCER_PATHWAY;WP_MAPK_SIGNALING,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Linifanib,4.143909978035838,True,4,2,WP_MAPK_SIGNALING;REACTOME_ESR_MEDIATED_SIGNALING;WP_BREAST_CANCER_PATHWAY;REACTOME_CELL_CYCLE_CHECKPOINTS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Trichostatin,4.140982824072775,True,4,2,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_ESR_MEDIATED_SIGNALING;WP_BREAST_CANCER_PATHWAY,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Pirarubicin,4.140082462806754,True,1,2,REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Vandetanib,4.1399556648536215,True,3,2,REACTOME_CELL_CYCLE;REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Nintedanib,4.139921560098696,True,3,2,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_CELL_CYCLE,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Crizotinib,4.135076499914385,True,1,2,REACTOME_CELL_CYCLE_CHECKPOINTS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Fedratinib,4.133602749620057,True,3,2,REACTOME_CELL_CYCLE;REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
TAK-901,4.1335207878951925,True,1,2,REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
AMG-900,4.133249477876764,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
PCI-34051,4.119933468784577,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Epothilone,4.117285315395048,True,1,2,REACTOME_ESR_MEDIATED_SIGNALING,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
MLN8054,4.117130944255109,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Bosutinib,4.110224304682351,True,4,2,REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_CELL_CYCLE;REACTOME_ESR_MEDIATED_SIGNALING;REACTOME_CELL_CYCLE_CHECKPOINTS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
BMS-265246,4.097232614587959,True,3,2,REACTOME_ESR_MEDIATED_SIGNALING;REACTOME_CELL_CYCLE;REACTOME_CELL_CYCLE_CHECKPOINTS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Navitoclax,4.09546908335191,True,1,2,WP_MAPK_SIGNALING,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
CEP-33779,4.094843518261667,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Roxadustat,4.09471178448465,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
CYC116,4.093469328984169,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
JNJ-26854165,4.0906024829125895,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Nilotinib,4.085743306234303,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
