group,n_truth,crisp_between_seed,diffcrisp_between_seed,real_sampling,crisp_ratio,diffcrisp_ratio
K562_Dasatinib_1.0,102,0.0006112113173003308,0.04418918920887841,0.3938520653380288,0.0015518804421547226,0.1121974291818235
K562_Decitabine_1.0,184,0.0003189337436601313,0.026196168197525873,0.11260923287934727,0.002832216644276815,0.23262895526153873
K562_Divalproex_1.0,210,8.322756173129164e-07,0.005449627599510778,0.009678276648951902,8.59941958161577e-05,0.5630783038322158
K562_Droxinostat_1.0,173,0.000279214888602534,0.039083494452966584,0.15675830874178145,0.0017811807925439405,0.24932327202729954
K562_ENMD-2076_1.0,270,0.0029462312749173078,0.13413745843701894,3.648806487189399,0.0008074506788072308,0.036762009415397166
K562_Ellagic_1.0,245,2.0100291212404247e-06,0.001408988755037102,0.012117112786336629,0.00016588350349490454,0.11628089792362839
K562_Entacapone_1.0,215,1.9838252537990937e-07,0.0038975592660588317,0.015219835983934225,1.3034471960756888e-05,0.2560841831786507
K562_Entinostat_1.0,101,0.001260421032525806,0.08020966872572899,0.5166654262277816,0.0024395304360275228,0.15524489283393053
K562_Enzastaurin_1.0,145,0.0006890506460978132,0.016470712733765443,0.27244680126508075,0.0025291199709384445,0.06045478477737767
K562_Epothilone_1.0,70,1.3499330523498227e-05,0.008087159102109985,0.022621892785860433,0.0005967374459459836,0.35749259262535166
K562_Filgotinib_1.0,208,0.0003260878379579582,0.07516685153047244,0.4170101112789578,0.0007819662620598247,0.18025186799413065
K562_Fluorouracil_1.0,252,0.00022241180413402618,0.01898178043257859,0.22910071710745494,0.0009708036139830525,0.08285343089378276
K562_GSK-LSD1_1.0,205,3.810204470937606e-05,0.02412804870141877,0.6840708699491289,5.5698972698851404e-05,0.0352712705091697
K562_GSK1070916_1.0,137,0.0011253257398493588,0.10380728758043713,0.4480590211020576,0.0025115569307844277,0.23168217286443654
K562_Gandotinib_1.0,166,0.0013359522110679084,0.11983447819948197,0.6015861471494038,0.002220716380186402,0.19919753599266488
K562_Givinostat_1.0,76,0.0006979318975936621,0.07441707625985146,0.1482470613386896,0.004707897015234227,0.5019801106872265
K562_Glesatinib?(MGCD265)_1.0,94,0.00022127027574849004,0.02088874052796099,0.1325594823393557,0.0016692149957407984,0.15758013051443032
K562_Hesperadin_1.0,114,0.00047664350826784763,0.03947598793440395,0.2867612212896347,0.0016621616623205405,0.1376615281413256
K562_INO-1001_1.0,220,1.5894563443197285e-11,0.001917751487538529,0.016521082658113705,9.620775933465396e-10,0.1160790444079461
K562_IOX2_1.0,221,2.93206724677475e-07,3.529919898110418e-08,0.036782730106885236,7.971314903093356e-06,9.596677266350233e-07
K562_ITSA-1_1.0,173,0.00015609053767143955,0.0010024842201447528,0.0365050142010053,0.004275865688257725,0.02746154855946189
K562_Ivosidenib_1.0,165,8.386056176985019e-07,0.0015375629679814059,0.007124624409091969,0.0001177052388373385,0.21580968759830635
K562_JNJ-26854165_1.0,201,0.0005508567232431637,0.3036047259966532,1.6339323944515651,0.000337135566388021,0.18581229372012
K562_JNJ-7706621_1.0,68,0.000775779050309211,0.08467405885457993,0.09688417837023736,0.00800728316386826,0.8739719970685291
K562_JQ1_1.0,114,0.0007469727496047401,0.04795742920703358,0.21538901329040527,0.0034680169531099048,0.22265494638936578
K562_KW-2449_1.0,150,0.0010040373696635168,0.14156281451384226,0.6835797680748834,0.0014687932799578242,0.20709041011046223
K562_Ki8751_1.0,161,2.7028609287703552e-05,0.006793319744368394,0.10859131274951829,0.00024890213225480553,0.06255859306202677
K562_Lapatinib_1.0,167,0.00036494605948165473,0.0024683983262447228,0.024413391642479434,0.014948601358880698,0.10110837373164064
K562_Lenalidomide_1.0,235,1.7689043968655622e-06,0.003210703755960114,0.014321177385540472,0.00012351668785637383,0.22419272309285374
K562_Linifanib_1.0,224,0.00030867606611637813,0.08697719971338908,0.9507584757275052,0.0003246629654078909,0.09148190832254798
K562_Luminespib_1.0,77,0.00041734963435576195,0.0189803259447217,0.07576498323016696,0.0055084765621592315,0.2505158073758327
K562_M344_1.0,55,0.0006280472248262312,0.05565245184633467,0.09049855810072686,0.006939858910538673,0.614954017105911
