pos_ratio,model,cov_drug,cell_type
0.8466666666666667,DIFFCRISP,T cells CD4+_Atorvastatin,T cells CD4+
0.9533333333333333,DIFFCRISP,T cells CD4+_Azacitidine,T cells CD4+
0.9199999999999999,DIFFCRISP,T cells CD4+_BAY613606,T cells CD4+
0.8066666666666666,DIFFCRISP,T cells CD4+_BAY872243,T cells CD4+
0.8733333333333334,DIFFCRISP,T cells CD4+_BID1870,T cells CD4+
0.9533333333333333,DIFFCRISP,T cells CD4+_BMS265246,T cells CD4+
0.9933333333333333,DIFFCRISP,T cells CD4+_BMS387032,T cells CD4+
0.82,DIFFCRISP,T cells CD4+_BMS536924,T cells CD4+
0.9533333333333333,DIFFCRISP,T cells CD4+_BMS777607,T cells CD4+
0.8933333333333334,DIFFCRISP,T cells CD4+_BX912,T cells CD4+
0.9866666666666667,DIFFCRISP,T cells CD4+_Belinostat,T cells CD4+
0.9,DIFFCRISP,T cells CD4+_Bosutinib,T cells CD4+
0.9466666666666667,DIFFCRISP,T cells CD4+_Buspirone,T cells CD4+
0.98,DIFFCRISP,T cells CD4+_CC401,T cells CD4+
1.0,DIFFCRISP,T cells CD4+_CEP18770Delanzomib,T cells CD4+
0.9466666666666667,DIFFCRISP,T cells CD4+_CEP37440,T cells CD4+
0.8133333333333334,DIFFCRISP,T cells CD4+_CGM097,T cells CD4+
1.0,DIFFCRISP,T cells CD4+_CGP60474,T cells CD4+
0.5533333333333333,DIFFCRISP,T cells CD4+_CHIR99021,T cells CD4+
0.9333333333333332,DIFFCRISP,T cells CD4+_Cabozantinib,T cells CD4+
0.7000000000000001,DIFFCRISP,T cells CD4+_Canertinib,T cells CD4+
0.68,DIFFCRISP,T cells CD4+_Ceritinib,T cells CD4+
0.9533333333333333,DIFFCRISP,T cells CD4+_Chlorpheniramine,T cells CD4+
0.9866666666666667,DIFFCRISP,T cells CD4+_Clemastine,T cells CD4+
0.98,DIFFCRISP,T cells CD4+_Clomipramine,T cells CD4+
0.6666666666666666,DIFFCRISP,T cells CD4+_Clotrimazole,T cells CD4+
0.9066666666666666,DIFFCRISP,T cells CD4+_Colchicine,T cells CD4+
0.7866666666666666,DIFFCRISP,T cells CD4+_Colforsin,T cells CD4+
0.9866666666666667,DIFFCRISP,T cells CD4+_Crizotinib,T cells CD4+
0.6266666666666666,DIFFCRISP,T cells CD4+_Dabrafenib,T cells CD4+
0.8866666666666667,DIFFCRISP,T cells CD4+_Dactolisib,T cells CD4+
0.9533333333333333,DIFFCRISP,T cells CD4+_Dasatinib,T cells CD4+
0.86,DIFFCRISP,T cells CD4+_Decitabine,T cells CD4+
0.8333333333333334,DIFFCRISP,T cells CD4+_Defactinib,T cells CD4+
0.7799999999999999,DIFFCRISP,T cells CD4+_Desloratadine,T cells CD4+
0.6933333333333334,DIFFCRISP,T cells CD4+_Disulfiram,T cells CD4+
0.6466666666666666,DIFFCRISP,T cells CD4+_Dovitinib,T cells CD4+
0.9266666666666667,DIFFCRISP,T cells CD4+_Doxorubicin,T cells CD4+
0.8933333333333334,DIFFCRISP,T cells CD4+_FK866,T cells CD4+
0.9933333333333333,DIFFCRISP,T cells CD4+_Flutamide,T cells CD4+
0.9733333333333333,DIFFCRISP,T cells CD4+_Foretinib,T cells CD4+
0.9400000000000001,DIFFCRISP,T cells CD4+_GLPG0634,T cells CD4+
1.0,DIFFCRISP,T cells CD4+_GO6976,T cells CD4+
0.9066666666666667,DIFFCRISP,T cells CD4+_GSK1070916,T cells CD4+
0.9199999999999999,DIFFCRISP,T cells CD4+_GSK256066,T cells CD4+
0.8333333333333334,DIFFCRISP,T cells CD4+_GW843682X,T cells CD4+
0.96,DIFFCRISP,T cells CD4+_GanetespibSTA9090,T cells CD4+
